year,date,time,latitude,longitude,depth,surface_wave_magnitude,abe_magnitude,intensity,max_height,moment_magnitude,available_observations,damage_code,cause,validity,warning_status,region_code,basic_reference,source_region
1899,30 Nov,00:00:00,-3.5,152.5,N/A,7.0,N/A,2.0,N/A,N/A,0,L,E,2,N/A,NGS,ICP,New Ireland East coast
1899,22 Jan,09:56:00,37.2,21.6,N/A,6.6,N/A,2.0,N/A,3.0,0,0,E,4,N/A,MED,PAP,Ionian Sea
1899,03 Feb,00:00:00,36.8,-28.1,N/A,N/A,N/A,2.0,N/A,N/A,0,S,U,3,N/A,NEA,AGOS,"Velas, Sao Jorge Is., Azores"
1899,04 Sep,00:22:00,60.15,-142.0,25,8.3,N/A,1.5,3.1,N/A,3,S,E,4,N/A,A-A,LA1,"Yakutat Bay, SE Alaska"
1899,10 Sep,21:30:00,60.0,-142.0,25,8.6,N/A,3.5,60.0,3.0,11,L,EL,4,N/A,A-A,LA1,"Yakutat Bay, SE Alaska"
1899,29 Sep,17:03:00,-3.0,128.5,60,7.5,N/A,3.0,12.0,2.0,14,L,L,4,N/A,IND,SG1,"BANDA SEA, INDONESIA"
1899,19 Oct,09:16:00,-5.0,148.0,N/A,7.5,N/A,1.5,N/A,N/A,0,0,E,2,N/A,NGS,SG1,MELANESIA ISLANDS
1899,24 Nov,18:43:00,31.9,131.4,30,7.2,7.0,-1.0,0.32,-1.0,1,N,E,4,N/A,JAP,IID,Hiuganada. Japan
1899,25 Dec,12:25:00,33.5,-116.5,N/A,7.0,N/A,0.5,N/A,N/A,1,0,M,1,N/A,CAM,LLK,S. CALIFORNIA
1900,11 Aug,04:40:00,62.0,-138.0,33,N/A,N/A,N/A,N/A,N/A,1,0,EL,4,N/A,A-A,LA1,SE. ALASKA
1900,11 Sep,21:30:00,-4.0,152.0,33,6.8,N/A,3.0,3.0,2.0,1,L,E,4,N/A,NGS,SG1,"Bismark Sea,New Guinea"
1900,17 Sep,21:45:00,-5.0,148.0,33,7.5,N/A,1.5,N/A,N/A,0,0,E,3,N/A,NGS,SG1,New Britain
1900,08 Oct,00:00:00,-3.5,136.0,33,7.8,N/A,1.5,N/A,N/A,0,S,E,3,N/A,NGS,SG1,N.West Iran.Indonesia
1900,29 Oct,04:42:00,10.3,-65.9,N/A,N/A,N/A,3.0,N/A,N/A,0,0,E,3,N/A,CAR,LWO,"Venezuela, Puerto Tuy"
1901,03 Mar,07:45:00,36.0,-120.5,N/A,6.7,N/A,N/A,N/A,N/A,1,0,L,3,N/A,CAM,LLK,"MONTEREY BAY, CALIFORNIA"
1901,31 Mar,11:30:00,43.4,27.93,N/A,N/A,N/A,N/A,N/A,N/A,0,0,E,2,N/A,MED,GTC,Bulgaria
1901,15 Jun,09:34:00,39.0,143.0,33,6.0,N/A,N/A,N/A,N/A,0,0,E,4,N/A,JAP,IID,Off Iwate Pref.. Japan
1901,24 Jun,07:02:00,28.3,129.3,33,7.7,7.6,-2.0,0.24,-1.0,1,N,E,4,N/A,JAP,IID,"Amami,Oshima,Ryukyu Tr.. Japan"
1901,09 Aug,09:23:00,40.5,141.5,30,7.8,7.6,0.0,0.6,N/A,3,N,E,4,N/A,JAP,IID,"Off Hachinohe,Sanriku. Japan"
1901,09 Aug,13:01:00,-22.0,170.0,33,8.1,N/A,0.0,1.2,N/A,3,S,E,4,N/A,NZT,LLO,TONGA ISLANDS
